360 180
2.8450E+02 8.9500E+01 -3.76268E+03
2.8550E+02 8.9500E+01 -3.74210E+03
2.8650E+02 8.9500E+01 -3.74891E+03
2.8750E+02 8.9500E+01 -3.79848E+03
2.8850E+02 8.9500E+01 -3.87343E+03
2.8950E+02 8.9500E+01 -4.04675E+03
2.9050E+02 8.9500E+01 -4.10401E+03
2.9150E+02 8.9500E+01 -4.16975E+03
2.9250E+02 8.9500E+01 -4.18202E+03
2.9350E+02 8.9500E+01 -4.18921E+03
2.9450E+02 8.9500E+01 -4.12632E+03
2.9550E+02 8.9500E+01 -4.09146E+03
2.9650E+02 8.9500E+01 -4.04728E+03
2.9750E+02 8.9500E+01 -4.04741E+03
2.9850E+02 8.9500E+01 -4.07224E+03
2.9950E+02 8.9500E+01 -4.09640E+03
3.0050E+02 8.9500E+01 -4.10734E+03
3.0150E+02 8.9500E+01 -4.10868E+03
3.0250E+02 8.9500E+01 -4.11280E+03
3.0350E+02 8.9500E+01 -4.11952E+03
3.0450E+02 8.9500E+01 -4.11413E+03
3.0550E+02 8.9500E+01 -4.10670E+03
3.0650E+02 8.9500E+01 -4.09611E+03
3.0750E+02 8.9500E+01 -4.09302E+03
3.0850E+02 8.9500E+01 -4.09043E+03
3.0950E+02 8.9500E+01 -4.09072E+03
3.1050E+02 8.9500E+01 -4.09085E+03
3.1150E+02 8.9500E+01 -4.09065E+03
3.1250E+02 8.9500E+01 -4.09208E+03
3.1350E+02 8.9500E+01 -4.09764E+03
3.1450E+02 8.9500E+01 -4.10201E+03
3.1550E+02 8.9500E+01 -4.11050E+03
3.1650E+02 8.9500E+01 -4.11458E+03
3.1750E+02 8.9500E+01 -4.11651E+03
3.1850E+02 8.9500E+01 -4.11683E+03
3.1950E+02 8.9500E+01 -4.11855E+03
3.2050E+02 8.9500E+01 -4.12739E+03
3.2150E+02 8.9500E+01 -4.13734E+03
3.2250E+02 8.9500E+01 -4.15268E+03
3.2350E+02 8.9500E+01 -4.15237E+03
3.2450E+02 8.9500E+01 -4.14826E+03
3.2550E+02 8.9500E+01 -4.14665E+03
3.2650E+02 8.9500E+01 -4.14734E+03
3.2750E+02 8.9500E+01 -4.15144E+03
3.2850E+02 8.9500E+01 -4.15496E+03
3.2950E+02 8.9500E+01 -4.15882E+03
3.3050E+02 8.9500E+01 -4.16092E+03
3.3150E+02 8.9500E+01 -4.16246E+03
3.3250E+02 8.9500E+01 -4.16305E+03
3.3350E+02 8.9500E+01 -4.16083E+03
3.3450E+02 8.9500E+01 -4.15910E+03
3.3550E+02 8.9500E+01 -4.15747E+03
3.3650E+02 8.9500E+01 -4.15729E+03
3.3750E+02 8.9500E+01 -4.15689E+03
3.3850E+02 8.9500E+01 -4.15724E+03
3.3950E+02 8.9500E+01 -4.14983E+03
3.4050E+02 8.9500E+01 -4.14407E+03
3.4150E+02 8.9500E+01 -4.14122E+03
3.4250E+02 8.9500E+01 -4.14144E+03
3.4350E+02 8.9500E+01 -4.14273E+03
3.4450E+02 8.9500E+01 -4.14373E+03
3.4550E+02 8.9500E+01 -4.14481E+03
3.4650E+02 8.9500E+01 -4.14688E+03
3.4750E+02 8.9500E+01 -4.14799E+03
3.4850E+02 8.9500E+01 -4.14945E+03
3.4950E+02 8.9500E+01 -4.14934E+03
3.5050E+02 8.9500E+01 -4.15125E+03
3.5150E+02 8.9500E+01 -4.15359E+03
3.5250E+02 8.9500E+01 -4.15457E+03
3.5350E+02 8.9500E+01 -4.15767E+03
3.5450E+02 8.9500E+01 -4.15854E+03
3.5550E+02 8.9500E+01 -4.16264E+03
3.5650E+02 8.9500E+01 -4.16568E+03
3.5750E+02 8.9500E+01 -4.16754E+03
3.5850E+02 8.9500E+01 -4.17420E+03
3.5950E+02 8.9500E+01 -4.17688E+03
5.0000E-01 8.8500E+01 -4.28914E+03
1.5000E+00 8.8500E+01 -4.29384E+03
2.5000E+00 8.8500E+01 -4.30728E+03
3.5000E+00 8.8500E+01 -4.31498E+03
4.5000E+00 8.8500E+01 -4.32016E+03
5.5000E+00 8.8500E+01 -4.30963E+03
6.5000E+00 8.8500E+01 -4.30482E+03
7.5000E+00 8.8500E+01 -4.29914E+03
8.5000E+00 8.8500E+01 -4.29864E+03
9.5000E+00 8.8500E+01 -4.29760E+03
1.0500E+01 8.8500E+01 -4.29760E+03
1.1500E+01 8.8500E+01 -4.29811E+03
1.2500E+01 8.8500E+01 -4.29908E+03
1.3500E+01 8.8500E+01 -4.29908E+03
1.4500E+01 8.8500E+01 -4.29795E+03
1.5500E+01 8.8500E+01 -4.29748E+03
1.6500E+01 8.8500E+01 -4.29748E+03
1.7500E+01 8.8500E+01 -4.29808E+03
1.8500E+01 8.8500E+01 -4.29760E+03
1.9500E+01 8.8500E+01 -4.29760E+03
2.0500E+01 8.8500E+01 -4.29808E+03
2.1500E+01 8.8500E+01 -4.29735E+03
2.2500E+01 8.8500E+01 -4.29847E+03
2.3500E+01 8.8500E+01 -4.29895E+03
2.4500E+01 8.8500E+01 -4.30067E+03
2.5500E+01 8.8500E+01 -4.30047E+03
2.6500E+01 8.8500E+01 -4.30143E+03
2.7500E+01 8.8500E+01 -4.30245E+03
2.8500E+01 8.8500E+01 -4.30348E+03
2.9500E+01 8.8500E+01 -4.30345E+03
3.0500E+01 8.8500E+01 -4.30395E+03
3.1500E+01 8.8500E+01 -4.30341E+03
3.2500E+01 8.8500E+01 -4.30347E+03
3.3500E+01 8.8500E+01 -4.30347E+03
3.4500E+01 8.8500E+01 -4.30347E+03
3.5500E+01 8.8500E+01 -4.30347E+03
3.6500E+01 8.8500E+01 -4.30447E+03
3.7500E+01 8.8500E+01 -4.30443E+03
3.8500E+01 8.8500E+01 -4.30508E+03
3.9500E+01 8.8500E+01 -4.30508E+03
4.0500E+01 8.8500E+01 -4.30556E+03
4.1500E+01 8.8500E+01 -4.30614E+03
4.2500E+01 8.8500E+01 -4.30614E+03
4.3500E+01 8.8500E+01 -4.30508E+03
4.4500E+01 8.8500E+01 -4.30460E+03
4.5500E+01 8.8500E+01 -4.29849E+03
4.6500E+01 8.8500E+01 -4.29412E+03
4.7500E+01 8.8500E+01 -4.30284E+03
4.8500E+01 8.8500E+01 -4.33733E+03
4.9500E+01 8.8500E+01 -4.40735E+03
5.0500E+01 8.8500E+01 -4.34018E+03
5.1500E+01 8.8500E+01 -4.32307E+03
5.2500E+01 8.8500E+01 -4.31972E+03
