360 180
110.50000 88.50000 -4.25881e+03
111.50000 88.50000 -4.25787e+03
112.50000 88.50000 -4.25639e+03
113.50000 88.50000 -4.25710e+03
114.50000 88.50000 -4.25650e+03
115.50000 88.50000 -4.25590e+03
116.50000 88.50000 -4.25494e+03
117.50000 88.50000 -4.25446e+03
118.50000 88.50000 -4.25299e+03
119.50000 88.50000 -4.25344e+03
120.50000 88.50000 -4.25447e+03
121.50000 88.50000 -4.24628e+03
122.50000 88.50000 -4.22937e+03
123.50000 88.50000 -4.14964e+03
124.50000 88.50000 -4.07882e+03
125.50000 88.50000 -4.00569e+03
126.50000 88.50000 -3.90296e+03
127.50000 88.50000 -3.85485e+03
128.50000 88.50000 -3.77266e+03
129.50000 88.50000 -3.68702e+03
130.50000 88.50000 -3.37365e+03
131.50000 88.50000 -3.15793e+03
132.50000 88.50000 -2.97488e+03
133.50000 88.50000 -2.64175e+03
134.50000 88.50000 -2.46319e+03
135.50000 88.50000 -2.24928e+03
136.50000 88.50000 -2.17285e+03
137.50000 88.50000 -1.94947e+03
138.50000 88.50000 -1.78861e+03
139.50000 88.50000 -1.63255e+03
140.50000 88.50000 -1.32643e+03
141.50000 88.50000 -1.16669e+03
142.50000 88.50000 -1.03514e+03
143.50000 88.50000 -1.02621e+03
144.50000 88.50000 -1.25199e+03
145.50000 88.50000 -1.47284e+03
146.50000 88.50000 -1.66414e+03
147.50000 88.50000 -2.05779e+03
148.50000 88.50000 -2.25842e+03
149.50000 88.50000 -2.58976e+03
150.50000 88.50000 -2.65958e+03
151.50000 88.50000 -2.67707e+03
152.50000 88.50000 -2.69361e+03
153.50000 88.50000 -2.70803e+03
154.50000 88.50000 -2.73200e+03
155.50000 88.50000 -2.71654e+03
156.50000 88.50000 -2.72367e+03
157.50000 88.50000 -2.72727e+03
158.50000 88.50000 -2.74116e+03
159.50000 88.50000 -2.74356e+03
160.50000 88.50000 -2.72411e+03
161.50000 88.50000 -2.68919e+03
162.50000 88.50000 -2.66286e+03
163.50000 88.50000 -2.56057e+03
164.50000 88.50000 -2.46189e+03
165.50000 88.50000 -2.36184e+03
166.50000 88.50000 -2.15649e+03
167.50000 88.50000 -2.04864e+03
168.50000 88.50000 -1.83283e+03
169.50000 88.50000 -1.75387e+03
170.50000 88.50000 -1.71008e+03
171.50000 88.50000 -1.60378e+03
172.50000 88.50000 -1.50863e+03
173.50000 88.50000 -1.38129e+03
174.50000 88.50000 -1.30136e+03
175.50000 88.50000 -1.18620e+03
176.50000 88.50000 -1.14968e+03
177.50000 88.50000 -1.12621e+03
178.50000 88.50000 -1.13633e+03
179.50000 88.50000 -1.20215e+03
180.50000 88.50000 -1.29902e+03
181.50000 88.50000 -1.33205e+03
182.50000 88.50000 -1.67664e+03
183.50000 88.50000 -1.87367e+03
184.50000 88.50000 -2.08792e+03
185.50000 88.50000 -2.39151e+03
186.50000 88.50000 -2.55974e+03
187.50000 88.50000 -3.02029e+03
188.50000 88.50000 -3.16326e+03
189.50000 88.50000 -3.51519e+03
190.50000 88.50000 -3.60017e+03
191.50000 88.50000 -3.68438e+03
192.50000 88.50000 -3.80267e+03
193.50000 88.50000 -3.86688e+03
194.50000 88.50000 -3.84251e+03
195.50000 88.50000 -3.78373e+03
196.50000 88.50000 -3.77294e+03
197.50000 88.50000 -3.51650e+03
198.50000 88.50000 -3.46900e+03
199.50000 88.50000 -3.67242e+03
200.50000 88.50000 -3.71259e+03
201.50000 88.50000 -3.80687e+03
202.50000 88.50000 -3.82398e+03
203.50000 88.50000 -3.84810e+03
204.50000 88.50000 -3.90285e+03
205.50000 88.50000 -3.91704e+03
206.50000 88.50000 -3.92510e+03
207.50000 88.50000 -3.92162e+03
208.50000 88.50000 -3.90514e+03
209.50000 88.50000 -3.89625e+03
210.50000 88.50000 -3.89075e+03
211.50000 88.50000 -3.88902e+03
212.50000 88.50000 -3.89147e+03
213.50000 88.50000 -3.90685e+03
214.50000 88.50000 -3.91471e+03
215.50000 88.50000 -3.91338e+03
216.50000 88.50000 -3.90297e+03
217.50000 88.50000 -3.89940e+03
218.50000 88.50000 -3.91759e+03
219.50000 88.50000 -3.93000e+03
220.50000 88.50000 -3.93913e+03
221.50000 88.50000 -3.93770e+03
222.50000 88.50000 -3.93367e+03
223.50000 88.50000 -3.91709e+03
224.50000 88.50000 -3.90019e+03
225.50000 88.50000 -3.87890e+03
226.50000 88.50000 -3.88390e+03
227.50000 88.50000 -3.89543e+03
228.50000 88.50000 -3.89820e+03
229.50000 88.50000 -3.89572e+03
230.50000 88.50000 -3.87041e+03
231.50000 88.50000 -3.85424e+03
232.50000 88.50000 -3.84620e+03
233.50000 88.50000 -3.86299e+03
234.50000 88.50000 -3.90340e+03
235.50000 88.50000 -3.91560e+03
236.50000 88.50000 -3.91150e+03
237.50000 88.50000 -3.88178e+03
238.50000 88.50000 -3.85826e+03
239.50000 88.50000 -3.80548e+03
240.50000 88.50000 -3.78773e+03
241.50000 88.50000 -3.77163e+03
242.50000 88.50000 -3.68903e+03
243.50000 88.50000 -3.63708e+03
244.50000 88.50000 -3.15588e+03
245.50000 88.50000 -2.99086e+03
246.50000 88.50000 -2.83621e+03
247.50000 88.50000 -2.77985e+03
248.50000 88.50000 -2.69287e+03
249.50000 88.50000 -2.57124e+03
